genome_name	genome_fpath	barcode	genus	read_filename	bas_h5_fpath
MIT1223_IMG_2681813568	/nfs/chisholmlab001/chisholmlab/genomic_resources/strains/pro_syn_img/MIT1223_IMG_2681813568/MIT1223_IMG_2681813568.fna	D15-9821	Prochlorococcus	m151219_140100_42183_c100938442550000001823213606101673_s1_p0	/nfs/chisholmlab001/chisholmlab/experiment_repository/Unfiled/users/jamiewb/jamiewb/151009Chi/D15-9821/D01_1/Analysis_Results/m151219_140100_42183_c100938442550000001823213606101673_s1_p0.bas.h5
MIT1314_IMG_2681813573	/nfs/chisholmlab001/chisholmlab/genomic_resources/strains/pro_syn_img/MIT1314_IMG_2681813573/MIT1314_IMG_2681813573.fna	D15-9822	Prochlorococcus	m151219_011230_42183_c100938442550000001823213606101670_s1_p0	/nfs/chisholmlab001/chisholmlab/experiment_repository/Unfiled/users/jamiewb/jamiewb/151009Chi/D15-9822/A01_1/Analysis_Results/m151219_011230_42183_c100938442550000001823213606101670_s1_p0.bas.h5
MIT1214_IMG_2681813567	/nfs/chisholmlab001/chisholmlab/genomic_resources/strains/pro_syn_img/MIT1214_IMG_2681813567/MIT1214_IMG_2681813567.fna	D15-9823	Prochlorococcus	m151219_052807_42183_c100938442550000001823213606101671_s1_p0	/nfs/chisholmlab001/chisholmlab/experiment_repository/Unfiled/users/jamiewb/jamiewb/151009Chi/D15-9823/B01_1/Analysis_Results/m151219_052807_42183_c100938442550000001823213606101671_s1_p0.bas.h5
MIT1300_IMG_2681813570	/nfs/chisholmlab001/chisholmlab/genomic_resources/strains/pro_syn_img/MIT1300_IMG_2681813570/MIT1300_IMG_2681813570.fna	D15-9824	Prochlorococcus	m151219_094427_42183_c100938442550000001823213606101672_s1_p0	/nfs/chisholmlab001/chisholmlab/experiment_repository/Unfiled/users/jamiewb/jamiewb/151009Chi/D15-9824/C01_1/Analysis_Results/m151219_094427_42183_c100938442550000001823213606101672_s1_p0.bas.h5
MIT1307_IMG_2681813572	/nfs/chisholmlab001/chisholmlab/genomic_resources/strains/pro_syn_img/MIT1307_IMG_2681813572/MIT1307_IMG_2681813572.fna	D16-1487	Prochlorococcus	m160304_202136_42183_c100934512550000001823210305251602_s1_p0	/nfs/chisholmlab001/chisholmlab/experiment_repository/Unfiled/users/jamiewb/jamiewb/160219Chi/D16-1487/A01_1/Analysis_Results/m160304_202136_42183_c100934512550000001823210305251602_s1_p0.bas.h5
MIT1341_IMG_2681813574	/nfs/chisholmlab001/chisholmlab/genomic_resources/strains/pro_syn_img/MIT1341_IMG_2681813574/MIT1341_IMG_2681813574.fna	D16-1488	Prochlorococcus	m160305_003737_42183_c100934512550000001823210305251603_s1_p0	/nfs/chisholmlab001/chisholmlab/experiment_repository/Unfiled/users/jamiewb/jamiewb/160219Chi/D16-1488/B01_1/Analysis_Results/m160305_003737_42183_c100934512550000001823210305251603_s1_p0.bas.h5
MIT1013_IMG_2681812904	/nfs/chisholmlab001/chisholmlab/genomic_resources/strains/pro_syn_img/MIT1013_IMG_2681812904/MIT1013_IMG_2681812904.fna	D16-857	Prochlorococcus	m160220_005842_42183_c100934472550000001823210305251672_s1_p0	/nfs/chisholmlab001/chisholmlab/experiment_repository/Unfiled/users/pmberube/160201Chi/D16-857/A01_1/Analysis_Results/m160220_005842_42183_c100934472550000001823210305251672_s1_p0.bas.h5
MIT0917_IMG_2681812859	/nfs/chisholmlab001/chisholmlab/genomic_resources/strains/pro_syn_img/MIT0917_IMG_2681812859/MIT0917_IMG_2681812859.fna	D16-858	Prochlorococcus	m160220_051445_42183_c100934472550000001823210305251673_s1_p0	/nfs/chisholmlab001/chisholmlab/experiment_repository/Unfiled/users/pmberube/160201Chi/D16-858/B01_1/Analysis_Results/m160220_051445_42183_c100934472550000001823210305251673_s1_p0.bas.h5
MIT0915_IMG_2681812901	/nfs/chisholmlab001/chisholmlab/genomic_resources/strains/pro_syn_img/MIT0915_IMG_2681812901/MIT0915_IMG_2681812901.fna	D16-859	Prochlorococcus	m160220_093122_42183_c100934472550000001823210305251674_s1_p0	/nfs/chisholmlab001/chisholmlab/experiment_repository/Unfiled/users/pmberube/160201Chi/D16-859/C01_1/Analysis_Results/m160220_093122_42183_c100934472550000001823210305251674_s1_p0.bas.h5
PAC1_IMG_2606217419	/nfs/chisholmlab001/chisholmlab/genomic_resources/strains/pro_syn_img/PAC1_IMG_2606217419/PAC1_IMG_2606217419.fna	D16-860	Prochlorococcus	m160220_134729_42183_c100934472550000001823210305251675_s1_p0	/nfs/chisholmlab001/chisholmlab/experiment_repository/Unfiled/users/pmberube/160201Chi/D16-860/D01_1/Analysis_Results/m160220_134729_42183_c100934472550000001823210305251675_s1_p0.bas.h5
MIT0912_IMG_2681812899	/nfs/chisholmlab001/chisholmlab/genomic_resources/strains/pro_syn_img/MIT0912_IMG_2681812899/MIT0912_IMG_2681812899.fna	D16-2298	Prochlorococcus	m160329_195937_42183_c100964772550000001823220007061684_s1_p0	/nfs/chisholmlab001/chisholmlab/experiment_repository/Unfiled/users/pmberube/160311Chi/D16-2298/F01_1/Analysis_Results/m160329_195937_42183_c100964772550000001823220007061684_s1_p0.bas.h5
MIT0913_IMG_2681812900	/nfs/chisholmlab001/chisholmlab/genomic_resources/strains/pro_syn_img/MIT0913_IMG_2681812900/MIT0913_IMG_2681812900.fna	D16-2299	Prochlorococcus	m160330_001948_42183_c100964772550000001823220007061685_s1_p0	/nfs/chisholmlab001/chisholmlab/experiment_repository/Unfiled/users/pmberube/160311Chi/D16-2299/G01_1/Analysis_Results/m160330_001948_42183_c100964772550000001823220007061685_s1_p0.bas.h5
MIT0918_IMG_2681812902	/nfs/chisholmlab001/chisholmlab/genomic_resources/strains/pro_syn_img/MIT0918_IMG_2681812902/MIT0918_IMG_2681812902.fna	D16-2300	Prochlorococcus	m160330_043201_42183_c100964772550000001823220007061686_s1_p0	/nfs/chisholmlab001/chisholmlab/experiment_repository/Unfiled/users/pmberube/160311Chi/D16-2300/H01_1/Analysis_Results/m160330_043201_42183_c100964772550000001823220007061686_s1_p0.bas.h5
MIT0919_IMG_2681812903	/nfs/chisholmlab001/chisholmlab/genomic_resources/strains/pro_syn_img/MIT0919_IMG_2681812903/MIT0919_IMG_2681812903.fna	D16-2301	Prochlorococcus	m160402_031641_42183_c100965102550000001823220007061620_s1_p0	/nfs/chisholmlab001/chisholmlab/experiment_repository/Unfiled/users/pmberube/160311Chi/D16-2301/B01_1/Analysis_Results/m160402_031641_42183_c100965102550000001823220007061620_s1_p0.bas.h5
