genome_name	genome_fpath	barcode	bam path
bc1010_metaflye_contig_154	/nfs/chisholmlab001/nvo/mini_projects/24_AllisonPacBioGenomes/240718Chi_GenomeClosing/contig_extraction/data/extracted_contigs/bc1010_metaflye_contig_154.fna	bc1010	/orcd/data/chisholm/001/chisholmlab/experiment_repository/2024/240718Chi/1_A01/hifi_reads/m84147_240808_190802_s2.hifi_reads.bc1010.bam
bc1010_metaflye_contig_173	/nfs/chisholmlab001/nvo/mini_projects/24_AllisonPacBioGenomes/240718Chi_GenomeClosing/contig_extraction/data/extracted_contigs/bc1010_metaflye_contig_173.fna	bc1010	/orcd/data/chisholm/001/chisholmlab/experiment_repository/2024/240718Chi/1_A01/hifi_reads/m84147_240808_190802_s2.hifi_reads.bc1010.bam
bc1010_metaflye_contig_4	/nfs/chisholmlab001/nvo/mini_projects/24_AllisonPacBioGenomes/240718Chi_GenomeClosing/contig_extraction/data/extracted_contigs/bc1010_metaflye_contig_4.fna	bc1010	/orcd/data/chisholm/001/chisholmlab/experiment_repository/2024/240718Chi/1_A01/hifi_reads/m84147_240808_190802_s2.hifi_reads.bc1010.bam
bc1010_metaflye_contig_116	/nfs/chisholmlab001/nvo/mini_projects/24_AllisonPacBioGenomes/240718Chi_GenomeClosing/contig_extraction/data/extracted_contigs/bc1010_metaflye_contig_116.fna	bc1010	/orcd/data/chisholm/001/chisholmlab/experiment_repository/2024/240718Chi/1_A01/hifi_reads/m84147_240808_190802_s2.hifi_reads.bc1010.bam
bc1010_metaflye_contig_197	/nfs/chisholmlab001/nvo/mini_projects/24_AllisonPacBioGenomes/240718Chi_GenomeClosing/contig_extraction/data/extracted_contigs/bc1010_metaflye_contig_197.fna	bc1010	/orcd/data/chisholm/001/chisholmlab/experiment_repository/2024/240718Chi/1_A01/hifi_reads/m84147_240808_190802_s2.hifi_reads.bc1010.bam
bc1010_metaflye_contig_212	/nfs/chisholmlab001/nvo/mini_projects/24_AllisonPacBioGenomes/240718Chi_GenomeClosing/contig_extraction/data/extracted_contigs/bc1010_metaflye_contig_212.fna	bc1010	/orcd/data/chisholm/001/chisholmlab/experiment_repository/2024/240718Chi/1_A01/hifi_reads/m84147_240808_190802_s2.hifi_reads.bc1010.bam
bc1010_metaflye_contig_220	/nfs/chisholmlab001/nvo/mini_projects/24_AllisonPacBioGenomes/240718Chi_GenomeClosing/contig_extraction/data/extracted_contigs/bc1010_metaflye_contig_220.fna	bc1010	/orcd/data/chisholm/001/chisholmlab/experiment_repository/2024/240718Chi/1_A01/hifi_reads/m84147_240808_190802_s2.hifi_reads.bc1010.bam
bc1010_metaflye_contig_54	/nfs/chisholmlab001/nvo/mini_projects/24_AllisonPacBioGenomes/240718Chi_GenomeClosing/contig_extraction/data/extracted_contigs/bc1010_metaflye_contig_54.fna	bc1010	/orcd/data/chisholm/001/chisholmlab/experiment_repository/2024/240718Chi/1_A01/hifi_reads/m84147_240808_190802_s2.hifi_reads.bc1010.bam
bc1011_metaflye_contig_5	/nfs/chisholmlab001/nvo/mini_projects/24_AllisonPacBioGenomes/240718Chi_GenomeClosing/contig_extraction/data/extracted_contigs/bc1011_metaflye_contig_5.fna	bc1011	/orcd/data/chisholm/001/chisholmlab/experiment_repository/2024/240718Chi/1_A01/hifi_reads/m84147_240808_190802_s2.hifi_reads.bc1011.bam
bc1011_metaflye_contig_47	/nfs/chisholmlab001/nvo/mini_projects/24_AllisonPacBioGenomes/240718Chi_GenomeClosing/contig_extraction/data/extracted_contigs/bc1011_metaflye_contig_47.fna	bc1011	/orcd/data/chisholm/001/chisholmlab/experiment_repository/2024/240718Chi/1_A01/hifi_reads/m84147_240808_190802_s2.hifi_reads.bc1011.bam
bc1011_metaflye_contig_380	/nfs/chisholmlab001/nvo/mini_projects/24_AllisonPacBioGenomes/240718Chi_GenomeClosing/contig_extraction/data/extracted_contigs/bc1011_metaflye_contig_380.fna	bc1011	/orcd/data/chisholm/001/chisholmlab/experiment_repository/2024/240718Chi/1_A01/hifi_reads/m84147_240808_190802_s2.hifi_reads.bc1011.bam
bc1012_metaflye_contig_51	/nfs/chisholmlab001/nvo/mini_projects/24_AllisonPacBioGenomes/240718Chi_GenomeClosing/contig_extraction/data/extracted_contigs/bc1012_metaflye_contig_51.fna	bc1012	/orcd/data/chisholm/001/chisholmlab/experiment_repository/2024/240718Chi/1_A01/hifi_reads/m84147_240808_190802_s2.hifi_reads.bc1012.bam
bc1012_metaflye_contig_1	/nfs/chisholmlab001/nvo/mini_projects/24_AllisonPacBioGenomes/240718Chi_GenomeClosing/contig_extraction/data/extracted_contigs/bc1012_metaflye_contig_1.fna	bc1012	/orcd/data/chisholm/001/chisholmlab/experiment_repository/2024/240718Chi/1_A01/hifi_reads/m84147_240808_190802_s2.hifi_reads.bc1012.bam
bc1012_metaflye_contig_86	/nfs/chisholmlab001/nvo/mini_projects/24_AllisonPacBioGenomes/240718Chi_GenomeClosing/contig_extraction/data/extracted_contigs/bc1012_metaflye_contig_86.fna	bc1012	/orcd/data/chisholm/001/chisholmlab/experiment_repository/2024/240718Chi/1_A01/hifi_reads/m84147_240808_190802_s2.hifi_reads.bc1012.bam
bc1012_metaflye_contig_230	/nfs/chisholmlab001/nvo/mini_projects/24_AllisonPacBioGenomes/240718Chi_GenomeClosing/contig_extraction/data/extracted_contigs/bc1012_metaflye_contig_230.fna	bc1012	/orcd/data/chisholm/001/chisholmlab/experiment_repository/2024/240718Chi/1_A01/hifi_reads/m84147_240808_190802_s2.hifi_reads.bc1012.bam
