genome_name	genome_fpath	batch	barcode	genus	read_filename	subreadset_xml_fpath
batch4_bc1015_metaflye_ccs_contig_3_Shimia	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch4_bc1015_metaflye_ccs_contig_3_Shimia.fasta	batch4	bc1015	Shimia	demux_subreadset.bc1015--bc1015.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch4/1/lima_demux/demux_subreadset.bc1015--bc1015.subreadset.xml
batch1_bc1021_metaflye_subreadset_contig_76_Synechococcus_C_sp002171995	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch1_bc1021_metaflye_subreadset_contig_76_Synechococcus_C_sp002171995.fasta	batch1	bc1021	Synechococcus	demux_subreadset.bc1021--bc1021.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch1/1/lima_demux/demux_subreadset.bc1021--bc1021.subreadset.xml
batch1_bc1021_metaflye_subreadset_contig_98_Thalassobius	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch1_bc1021_metaflye_subreadset_contig_98_Thalassobius.fasta	batch1	bc1021	Thalassobius	demux_subreadset.bc1021--bc1021.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch1/1/lima_demux/demux_subreadset.bc1021--bc1021.subreadset.xml
batch1_bc1016_metaflye_ccs_contig_11_Prochlorococcus_A_marinus_E	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch1_bc1016_metaflye_ccs_contig_11_Prochlorococcus_A_marinus_E.fasta	batch1	bc1016	Prochlorococcus	demux_subreadset.bc1016--bc1016.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch1/1/lima_demux/demux_subreadset.bc1016--bc1016.subreadset.xml
batch1_bc1017_metaflye_ccs_contig_1_Prochlorococcus_A_marinus_E	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch1_bc1017_metaflye_ccs_contig_1_Prochlorococcus_A_marinus_E.fasta	batch1	bc1017	Prochlorococcus	demux_subreadset.bc1017--bc1017.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch1/1/lima_demux/demux_subreadset.bc1017--bc1017.subreadset.xml
batch1_bc1018_metaflye_subreadset_contig_1_Prochlorococcus_C	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch1_bc1018_metaflye_subreadset_contig_1_Prochlorococcus_C.fasta	batch1	bc1018	Prochlorococcus	demux_subreadset.bc1018--bc1018.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch1/1/lima_demux/demux_subreadset.bc1018--bc1018.subreadset.xml
batch1_bc1019_metaflye_subreadset_contig_60_Prochlorococcus_C	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch1_bc1019_metaflye_subreadset_contig_60_Prochlorococcus_C.fasta	batch1	bc1019	Prochlorococcus	demux_subreadset.bc1019--bc1019.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch1/1/lima_demux/demux_subreadset.bc1019--bc1019.subreadset.xml
batch1_bc1012_metaflye_ccs_contig_1_Prochlorococcus_A_pastoris	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch1_bc1012_metaflye_ccs_contig_1_Prochlorococcus_A_pastoris.fasta	batch1	bc1012	Prochlorococcus	demux_subreadset.bc1012--bc1012.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch1/1/lima_demux/demux_subreadset.bc1012--bc1012.subreadset.xml
batch3_bc1010_metaflye_ccs_contig_60_RCC307	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch3_bc1010_metaflye_ccs_contig_60_RCC307.fasta	batch3	bc1010	RCC307	demux_subreadset.bc1010--bc1010.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch3/1/lima_demux/demux_subreadset.bc1010--bc1010.subreadset.xml
batch1_bc1022_metaflye_ccs_contig_1_Synechococcus_C_sp002687115	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch1_bc1022_metaflye_ccs_contig_1_Synechococcus_C_sp002687115.fasta	batch1	bc1022	Synechococcus	demux_subreadset.bc1022--bc1022.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch1/1/lima_demux/demux_subreadset.bc1022--bc1022.subreadset.xml
